subject	Rep1_Left.Right	Rep1_container_id	Rep1_volume	Rep1_ng.ul	Rep1_X260.280	Rep1_X260.230	Rep1_Total	Rep1_Extraction.Status	Rep1_Slide	Rep1_Qubit.ng.ul	Rep1_Agilent.RINe	Rep1_Comment	Rep1_Coordinator	Rep1_TOTAL	Rep1_TOTAL_Qubit	Rep1_status	Rep1_status_FINAL	Rep1_TOTAL_ug	Rep1_TOTAL_Qubit_ug	Color
10201001	NA	NA	20	48	2.03	NA	0.96	PASS	PASS	NA	-1	NA	NM	960	NA	PASS	NA	0.96	-5	aquamarine4
10201002	NA	10201002-0018	20	99.02	2.57	1.75	1.98	PASS	PASS	97.2	7.1	NA	NM	1980.4	1944	FAIL	FAIL	1.9804	1.944	aquamarine4
10201003	NA	10201003-0021	20	49.34	2	1.72	0.98	PASS	FAIL	37.8	4.2	NA	AHL	986.8	756	FAIL	FAIL	0.9868	0.756	Coral
10201004	NA	10201004-0010	20	114.21	2.12	1.44	2.28	PASS	PASS	103	6.5	NA	NM	2284.2	2060	PASS	PASS	2.2842	2.06	aquamarine4
10201005	NA	10201005-0010	20	100.45	2.15	1.55	2.01	PASS	PASS	94.2	8	NA	NM	2009	1884	PASS	PASS	2.009	1.884	aquamarine4
10201006	NA	10201006-0011	20	166.18	2.09	1.27	3.32	PASS	PASS	165	7.5	NA	NM	3323.6	3300	PASS	PASS	3.3236	3.3	aquamarine4
10201007	NA	10201007-0012	20	126.82	2.08	1.77	2.54	PASS	PASS	350	8.3	NA	AIM	2536.4	7000	PASS	PASS	2.5364	7	aquamarine4
10201008	NA	10201008-0019	20	271.68	2.07	2.09	5.43	PASS	PASS	450	8.3	NA	NM	5433.6	9000	PASS	PASS	5.4336	9	aquamarine4
10201009	NA	NA	20	16.01	2.02	0.25	0.32	FAIL	PASS	NA	-1	NA	NM	320.2	NA	FAIL	FAIL	0.3202	-5	aquamarine4
10201010	NA	10201010-0019	20	363.3	2.08	1.89	7.27	PASS	PASS	560	8.2	NA	DAS	7266	11200	PASS	PASS	7.266	11.2	aquamarine4
10201011	NA	10201011-0018	20	896.38	2.13	1.84	17.93	PASS	PASS	686	8.9	NA	NM	17927.6	13720	PASS	PASS	17.9276	13.72	aquamarine4
10201012	NA	NA	20	47.31	1.93	0.8	0.95	PASS	PASS	NA	-1	NA	NM	946.2	NA	PASS	NA	0.9462	-5	aquamarine4
10201013	NA	10201013-0017	20	275.94	2.01	2	5.52	PASS	PASS	188	6.7	NA	CMD	5518.8	3760	PASS	PASS	5.5188	3.76	aquamarine4
10201014	NA	10201014-0017	20	49.33	2.2	2.1	0.99	PASS	PASS	33	7.3	NA	AHL	986.6	660	PASS	PASS	0.9866	0.66	aquamarine4
10201015	NA	10201015-0014	20	40.41	1.95	0.85	0.81	PASS	PASS	15.2	7.1	NA	CMD	808.2	304	PASS	FAIL	0.8082	0.304	aquamarine4
10201016	NA	10201016-0014	20	21.89	2.36	0.09	0.44	FAIL	PASS	19.4	6.5	NA	AHL	437.8	388	FAIL	FAIL	0.4378	0.388	aquamarine4
10201017	NA	10201017-0014	20	136.14	2.14	1.75	2.72	PASS	PASS	198	8	NA	AHL	2722.8	3960	PASS	PASS	2.7228	3.96	aquamarine4
10201018	NA	10201018-0012	20	67.28	2.09	0.57	1.35	PASS	FAIL	43.6	6.9	NA	CMD	1345.6	872	FAIL	FAIL	1.3456	0.872	Coral
10201019	NA	NA	20	27.7	2.34	0.6	0.55	FAIL	FAIL	NA	-1	NA	CMD	554	NA	FAIL	FAIL	0.554	-5	Coral
10201020	NA	10201020-0012	20	266.62	2.12	1.5	5.33	PASS	PASS	232	8.2	NA	NM	5332.4	4640	PASS	PASS	5.3324	4.64	aquamarine4
10201021	NA	10201021-0012	20	283.1	2.11	1.96	5.66	PASS	PASS	324	6.7	NA	AHL	5662	6480	PASS	PASS	5.662	6.48	aquamarine4
10201022	NA	10201022-0003	20	83.3	2.09	0.37	1.67	PASS	PASS	68	8.6	NA	NM	1666	1360	PASS	PASS	1.666	1.36	aquamarine4
10201023	NA	10201023-0010	20	223.09	2.11	1.65	4.46	PASS	PASS	322	6.7	NA	NM	4461.8	6440	PASS	PASS	4.4618	6.44	aquamarine4
10201024	NA	10201024-0010	20	412.82	2.09	1.72	8.26	PASS	PASS	438	8	NA	AIM	8256.4	8760	PASS	PASS	8.2564	8.76	aquamarine4
